string_id,string_name,brand,series,gauge_mm,material,price_rm,rating,review_count,budget_tier,attacking_fit_label,control_fit_label,durable_fit_label,crisp_sound_label,source_url,attack,attack_100,attack_confidence,attack_review_raw,comfort,comfort_100,comfort_confidence,comfort_review_raw,control,control_100,control_confidence,control_review_raw,durability,durability_100,durability_confidence,durability_review_raw,elasticity,elasticity_100,elasticity_confidence,elasticity_review_raw,sound,sound_100,sound_confidence,sound_review_raw,string_movement,string_movement_100,string_movement_confidence,string_movement_review_raw,tension_retention,tension_retention_100,tension_retention_confidence,tension_retention_review_raw,value_for_money,value_for_money_100,value_for_money_confidence,value_for_money_review_raw,stability_score,all_round_score,attacking_fit_score,control_fit_score,beginner_fit_score,stability_score_100,all_round_score_100,attacking_fit_score_100,control_fit_score_100,beginner_fit_score_100
6935,AEROBITE,尤尼克斯 YONEX,控制性,,横线：线芯，高强度尼龙复丝；（外层）线衣，高聚合物尼龙编织。 竖线：线芯，高强度尼龙复丝；（外层）线衣，高聚合物尼龙编织；涂层，聚氨酯。,0,9.3,1128,low,high,high,medium,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=6935,0.9337058158364729,93.4,1.0,0.9337058158364729,0.9685970357846769,96.9,1.0,0.9685970357846769,0.9907586461974895,99.1,1.0,0.9907586461974895,0.6702749840156815,67.0,1.0,0.6702749840156815,0.9645759826952459,96.5,1.0,0.9645759826952459,0.9735161669302209,97.4,1.0,0.9735161669302209,0.9217180261262642,92.2,1.0,0.9217180261262642,0.049953704359913545,5.0,1.0,0.049953704359913545,0.5426616090192069,54.3,1.0,0.3902154786922759,0.9217180261262642,0.7795291078850192,0.9574749241103752,0.8734754890837794,0.8292859426809871,92.2,78.0,95.7,87.3,82.9
6982,AEROBITE BOOST,尤尼克斯 YONEX,控制性,,高密度尼龙 高聚合尼龙、特殊编织,0,9.2,477,low,high,high,high,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=6982,0.900093419239129,90.0,1.0,0.900093419239129,0.8201896839749941,82.0,1.0,0.8201896839749941,0.9920829391580371,99.2,1.0,0.9920829391580371,0.8706606894586836,87.1,1.0,0.8706606894586836,0.9205849079411742,92.1,1.0,0.9205849079411742,0.8880600099605667,88.8,1.0,0.8880600099605667,0.8892143142131446,88.9,1.0,0.8892143142131446,0.37754123496851194,37.8,0.8410559947425541,0.37754123496851194,0.5622680017164863,56.2,1.0,0.41635733562198174,0.8892143142131446,0.8022994667367475,0.904053941322956,0.8719778211037187,0.8216728624157912,88.9,80.2,90.4,87.2,82.2
6724,AEROSONIC,尤尼克斯 YONEX,高弹性,0.61,线芯-高密度尼龙；侧丝-高聚合尼龙 特殊编织,85,9.0,395,high,high,high,low,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=6724,0.9216616275042323,92.2,0.8886001431479201,0.9216616275042323,0.9083472032819732,90.8,1.0,0.9083472032819732,0.8247715413440656,82.5,0.5947722920748961,0.8247715413440656,0.49677449013359887,49.7,1.0,0.49677449013359887,0.9957041440796423,99.6,1.0,0.9957041440796423,0.9931740230098564,99.3,1.0,0.9931740230098564,0.9284758111895346,92.8,1.0,0.9284758111895346,0.12373726220306752,12.4,0.9059225595308342,0.12373726220306752,0.19843558636042086,19.8,1.0,0.2645807818138945,0.9284758111895346,0.710120187678488,0.9412836116351004,0.8102237904555768,0.663156421783511,92.8,71.0,94.1,81.0,66.3
401,BG-65,尤尼克斯 YONEX,耐久性,0.7,外裹特殊编织结构的侧丝,0,8.0,1506,low,medium,high,high,low,https://www.badmintoncn.com/cbo_eq/view.php?eid=401,0.9222080667070249,92.2,1.0,0.9222080667070249,0.784439875600579,78.4,1.0,0.784439875600579,0.9031717163933575,90.3,1.0,0.9031717163933575,0.9869499066360352,98.7,1.0,0.9869499066360352,0.46764759675939194,46.8,1.0,0.46764759675939194,0.5006772164326395,50.1,1.0,0.5006772164326395,0.9354963396160129,93.5,1.0,0.9354963396160129,0.3834590773012101,38.3,1.0,0.3834590773012101,0.9551239065910749,95.5,1.0,0.9401652087881,0.9354963396160129,0.7599081891152584,0.7215575467281923,0.7979194202074933,0.8887616482039641,93.5,76.0,72.2,79.8,88.9
716,BG-65Ti,尤尼克斯 YONEX,耐久性,0.7,线芯材料为化学合成多层成树脂，纤维表面采用新型氢钛合金涂覆技术,0,8.4,899,low,high,high,high,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=716,0.9965496969471278,99.7,1.0,0.9965496969471278,0.8634555081077614,86.3,1.0,0.8634555081077614,0.8120562614486901,81.2,1.0,0.8120562614486901,0.9811293282652607,98.1,1.0,0.9811293282652607,0.7318454081605902,73.2,1.0,0.7318454081605902,0.8723358671168373,87.2,1.0,0.8723358671168373,0.9787422169207974,97.9,1.0,0.9787422169207974,0.16693141613338253,16.7,1.0,0.16693141613338253,0.935864234536552,93.6,1.0,0.9144856460487361,0.9787422169207974,0.8154344375152223,0.878903415835126,0.788904067455237,0.8886222057602515,97.9,81.5,87.9,78.9,88.9
715,BG-80,尤尼克斯 YONEX,高弹性,0.68,侧丝：特殊高分子尼龙纤维编织、线芯： 维克特兰纤维和高分子尼龙复丝,68,9.1,3109,medium,high,high,medium,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=715,0.9879503291417451,98.8,1.0,0.9879503291417451,0.7812448361866462,78.1,1.0,0.7812448361866462,0.8543077360797652,85.4,1.0,0.8543077360797652,0.651671671345081,65.2,1.0,0.651671671345081,0.9701114881007832,97.0,1.0,0.9701114881007832,0.9624784274943772,96.2,1.0,0.9624784274943772,0.9896383929181763,99.0,1.0,0.9896383929181763,0.10513512642577182,10.5,1.0,0.10513512642577182,0.5546495184609008,55.5,1.0,0.6728660246145345,0.9896383929181763,0.7619097251281386,0.9450492563936802,0.8138440795421026,0.7282768646464638,99.0,76.2,94.5,81.4,72.8
6771,BG66 FORCE,尤尼克斯 YONEX,高弹性,0.65,高聚合尼龙 多纤丝 特殊编织,0,9.3,331,low,high,high,high,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=6771,0.9933701091536302,99.3,1.0,0.9933701091536302,0.8622691620140409,86.2,1.0,0.8622691620140409,0.8590630912981486,85.9,1.0,0.8590630912981486,0.8637543584656695,86.4,1.0,0.8637543584656695,0.8882914932660765,88.8,1.0,0.8882914932660765,0.8725844199075043,87.3,1.0,0.8725844199075043,0.9508151802385073,95.1,1.0,0.9508151802385073,0.6783793971618111,67.8,1.0,0.6783793971618111,0.7677136842726352,76.8,1.0,0.6902849123635136,0.9508151802385073,0.8595823217531137,0.9198690207768077,0.8673364949237812,0.8428535880771124,95.1,86.0,92.0,86.7,84.3
4146,BG66 ULTIMAX,尤尼克斯 YONEX,高弹性,0.65,高强度尼龙复丝 外层包裹特殊编织的高聚合尼龙,0,8.6,1331,low,high,high,medium,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=4146,0.9569054834580163,95.7,1.0,0.9569054834580163,0.9345134716003057,93.5,1.0,0.9345134716003057,0.9394568238158498,93.9,1.0,0.9394568238158498,0.6380391384865516,63.8,1.0,0.6380391384865516,0.9575237145513336,95.8,1.0,0.9575237145513336,0.9800615200323011,98.0,1.0,0.9800615200323011,0.978983935812086,97.9,1.0,0.978983935812086,0.023886860917943238,2.4,1.0,0.023886860917943238,0.6866236946584423,68.7,1.0,0.5821649262112564,0.978983935812086,0.7884438492592033,0.9572378783537959,0.8588467917663349,0.8268764876430683,97.9,78.8,95.7,85.9,82.7
6667,BG80 POWER,尤尼克斯 YONEX,高弹性,0.68,线芯【高密度尼龙复丝+维克兰特纤维】、侧丝【高聚合尼龙+特殊编织】,76,8.9,1082,high,high,high,high,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=6667,0.9555749385596338,95.6,1.0,0.9555749385596338,0.8830163238089997,88.3,1.0,0.8830163238089997,0.8615451368155507,86.2,1.0,0.8615451368155507,0.9070577463060174,90.7,1.0,0.9070577463060174,0.9191856151759972,91.9,1.0,0.9191856151759972,0.9168285242606722,91.7,1.0,0.9168285242606722,0.9467085594662682,94.7,1.0,0.9467085594662682,0.19454389002423383,19.5,1.0,0.19454389002423383,0.5342643440846226,53.4,1.0,0.677058341132438,0.9467085594662682,0.7909694531668884,0.9232083047242762,0.8251205936841604,0.8127064156151657,94.7,79.1,92.3,82.5,81.3
8887,EXBOLT 63,尤尼克斯 YONEX,高弹性,0.63,线芯：高强度尼龙复丝 侧丝：锻造纤维、特殊编织,76,9.3,1636,high,high,high,high,high,https://www.badmintoncn.com/cbo_eq/view.php?eid=8887,0.9490375840048547,94.9,1.0,0.9490375840048547,0.9009119106928771,90.1,1.0,0.9009119106928771,0.8419693213198829,84.2,1.0,0.8419693213198829,0.8366740646829902,83.7,1.0,0.8366740646829902,0.9587166949890751,95.9,1.0,0.9587166949890751,0.9491533527244027,94.9,1.0,0.9491533527244027,0.9090788905294421,90.9,1.0,0.9090788905294421,0.45899773765119145,45.9,1.0,0.45899773765119145,0.3920820423594733,39.2,1.0,0.48748193883223895,0.9090788905294421,0.799624622106021,0.9358620154108914,0.840965681028272,0.7715627204809704,90.9,80.0,93.6,84.1,77.2
